Problem,Problem Type,Algorithm,Population Size,Constraints Number,Objectives Number,Archive Size,Mutation Type,Crossover Rate,Crossover Type,Number of Generations,Decision Variables Number,Reference Point,Execution Time,Hypervolume,Mutation Rate
SPD,Engineering,CMOEA/D-DMA,500,9,3,2,Polynomial,0.7718,SBX,1000,6,[ 1.09052796e+01  1.27151930e+04 -5.58577951e+05],156.2417,0.654648,0.237687
SPD,Engineering,CMOEA/D-DMA,300,9,3,8,Polynomial,0.8276,SBX,500,6,[ 1.06644417e+01  1.26406320e+04 -5.75038274e+05],34.0829,0.545096,0.378427
SPD,Engineering,CMOEA/D-DMA,300,9,3,1,Polynomial,0.7591,SBX,500,6,[ 1.03493438e+01  1.23999244e+04 -6.59155592e+05],32.4769,0.513830,0.714998
SPD,Engineering,CMOEA/D-DMA,400,9,3,1,Polynomial,0.7509,SBX,100,6,[ 1.06083402e+01  1.17504286e+04 -6.05043515e+05],11.2019,0.531528,0.769406
SPD,Engineering,CMOEA/D-DMA,200,9,3,2,Polynomial,0.7216,SBX,300,6,[ 1.06660165e+01  1.29869660e+04 -3.53177475e+05],9.6383,0.628581,0.257996
SPD,Engineering,CMOEA/D-DMA,300,9,3,2,Polynomial,0.9862,SBX,50,6,[ 1.03950078e+01  1.25681144e+04 -6.07172747e+05],3.6504,0.495916,0.694177
SPD,Engineering,CMOEA/D-DMA,100,9,3,2,Polynomial,0.7746,SBX,100,6,[ 1.04172982e+01  1.18286362e+04 -6.13265803e+05],1.2011,0.504891,0.239191
SPD,Engineering,CMOEA/D-DMA,100,9,3,2,Polynomial,0.8091,SBX,100,6,[ 1.05438496e+01  1.24672296e+04 -5.65108817e+05],1.1857,0.439961,0.237848
SPD,Engineering,CMOEA/D-DMA,200,9,3,1,Polynomial,0.7788,SBX,500,6,[ 1.03564749e+01  1.24356243e+04 -6.57295983e+05],16.3044,0.481401,0.757818
SPD,Engineering,CMOEA/D-DMA,500,9,3,4,Polynomial,0.9028,SBX,1000,6,[ 1.05525786e+01  1.25973578e+04 -5.89122354e+05],160.9032,0.438762,0.312768
SPD,Engineering,CMOEA/D-DMA,300,9,3,2,Polynomial,0.9979,SBX,150,6,[ 1.07229298e+01  1.28577109e+04 -4.27647293e+05],10.0370,0.677213,0.258965
SPD,Engineering,CMOEA/D-DMA,200,9,3,4,Polynomial,0.7859,SBX,1000,6,[ 1.03102996e+01  1.23940671e+04 -6.70274688e+05],34.4359,0.549684,0.624532
SPD,Engineering,CMOEA/D-DMA,100,9,3,6,Polynomial,0.9852,SBX,300,6,[ 1.04660277e+01  1.24717612e+04 -6.27947755e+05],3.7769,0.451600,0.438311
SPD,Engineering,CMOEA/D-DMA,100,9,3,1,Polynomial,0.7585,SBX,300,6,[ 1.05379170e+01  1.20544403e+04 -5.92687519e+05],3.4638,0.424674,0.713930
SPD,Engineering,CMOEA/D-DMA,100,9,3,8,Polynomial,0.8149,SBX,100,6,[ 1.04478458e+01  1.24161597e+04 -6.69988082e+05],1.2347,0.392293,0.975160
SPD,Engineering,CMOEA/D-DMA,300,9,3,4,Polynomial,0.8084,SBX,50,6,[ 1.05926613e+01  1.27959162e+04 -4.88484903e+05],3.8443,0.521790,0.289146
SPD,Engineering,CMOEA/D-DMA,400,9,3,4,Polynomial,0.8894,SBX,300,6,[ 1.06190114e+01  1.26203335e+04 -5.87129607e+05],33.7117,0.544225,0.372417
SPD,Engineering,CMOEA/D-DMA,100,9,3,2,Polynomial,0.7090,SBX,300,6,[ 1.09308035e+01  1.02534153e+04 -4.97551848e+05],3.5822,0.689210,0.518490
SPD,Engineering,CMOEA/D-DMA,300,9,3,1,Polynomial,0.8003,SBX,300,6,[ 1.04397402e+01  1.24926383e+04 -6.53369462e+05],19.4063,0.600805,0.559973
